0.166554105 10.0.0.1:47070 10.0.0.3:5001 32 0x596299c4 0x596206b4 26 25 86016 10
0.166930475 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.167755768 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x59620c5c 26 25 88576 10
0.168091754 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.169050725 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x59621204 26 25 91648 10
0.169304330 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.170249219 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x596217ac 27 25 94720 10
0.170515707 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.171468486 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x59621d54 27 25 97280 11
0.171731499 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.172716162 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x596222fc 27 25 100352 11
0.172938479 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.173908822 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x596228a4 27 25 103424 11
0.174162363 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.176174354 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967b0ba9 26 25 74240 9
0.176583079 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.177346086 10.0.0.2:53726 10.0.0.3:5001 32 0x967ba461 0x967b1151 26 25 77312 10
0.177786119 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.178479678 10.0.0.2:53726 10.0.0.3:5001 32 0x967baa09 0x967b16f9 26 25 80384 10
0.178999118 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.179737297 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b1ca1 26 25 82944 10
0.180210339 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.180976720 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b2249 26 25 86016 11
0.181415075 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.182200198 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b27f1 26 25 88576 11
0.182639512 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.183440127 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b2d99 26 25 91648 11
0.183851870 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.184587001 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b3341 26 25 94720 11
0.185045073 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.185820648 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b38e9 26 25 97280 12
0.186261611 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.187051908 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b3e91 26 25 100352 12
0.187486349 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.188192448 10.0.0.2:53726 10.0.0.3:5001 32 0x967bafb1 0x967b4439 26 25 103424 12
0.188676998 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.190619002 10.0.0.2:53726 10.0.0.3:5001 32 0x967bdcf1 0x967b49e1 26 25 104448 12
0.191102064 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.193016005 10.0.0.2:53726 10.0.0.3:5001 32 0x967be841 0x967b5531 27 25 104448 12
0.193519645 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.196302634 10.0.0.2:53726 10.0.0.3:5001 32 0x967be841 0x967b6081 27 25 104448 12
0.197216653 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.198277011 10.0.0.1:47070 10.0.0.3:5001 32 0x59629f6c 0x59622e4c 27 25 105984 11
0.198491491 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.199498006 10.0.0.1:47070 10.0.0.3:5001 32 0x5962ccac 0x596233f4 27 25 109056 11
0.199634715 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.201584861 10.0.0.1:47070 10.0.0.3:5001 32 0x5962d254 0x5962399c 27 25 112128 12
0.201731914 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.202737601 10.0.0.1:47070 10.0.0.3:5001 32 0x5962d7fc 0x59623f44 27 25 114688 12
0.203242040 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.203861415 10.0.0.1:47070 10.0.0.3:5001 32 0x5962dda4 0x596244ec 27 25 117760 12
0.204436059 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.205631737 10.0.0.1:47070 10.0.0.3:5001 32 0x5962dda4 0x59624a94 27 25 118784 12
0.205729996 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.208009865 10.0.0.1:47070 10.0.0.3:5001 32 0x5962dda4 0x596255e4 27 25 118784 13
0.208106816 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.210400839 10.0.0.1:47070 10.0.0.3:5001 32 0x5962dda4 0x59626134 27 25 118784 13
0.211240839 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.213475580 10.0.0.1:47070 10.0.0.3:5001 32 0x5962dda4 0x59626c84 27 25 118784 13
0.214125052 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.215091309 10.0.0.1:47070 10.0.0.3:5001 32 0x5963108c 0x596277d4 27 25 118784 13
0.215339644 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.217529400 10.0.0.1:47070 10.0.0.3:5001 32 0x59631bdc 0x59628324 27 25 118784 13
0.217770604 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.219980340 10.0.0.1:47070 10.0.0.3:5001 32 0x59632184 0x59628e74 27 25 118784 13
0.220193979 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.224939531 10.0.0.2:53726 10.0.0.3:5001 32 0x967be841 0x967b7721 27 25 104448 13
0.225982963 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.228127200 10.0.0.2:53726 10.0.0.3:5001 32 0x967c1871 0x967b8271 27 25 104448 13
0.228686440 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.229444022 10.0.0.2:53726 10.0.0.3:5001 32 0x967c23c1 0x967b8dc1 27 25 104448 13
0.229917119 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.231993087 10.0.0.2:53726 10.0.0.3:5001 32 0x967c2969 0x967b9911 27 25 104448 13
0.232357795 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.235158493 10.0.0.2:53726 10.0.0.3:5001 32 0x967c2969 0x967ba461 27 25 104448 13
0.235916309 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.237952010 10.0.0.2:53726 10.0.0.3:5001 32 0x967c2969 0x967bafb1 27 25 104448 13
0.238359158 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.239493368 10.0.0.2:53726 10.0.0.3:5001 32 0x967c2969 0x967bbb01 27 25 104448 13
0.239542799 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.241556277 10.0.0.2:53726 10.0.0.3:5001 32 0x967c5c51 0x967bc651 27 25 104448 13
0.241959361 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.243956582 10.0.0.2:53726 10.0.0.3:5001 32 0x967c67a1 0x967bd1a1 27 25 104448 13
0.244410383 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.246304269 10.0.0.2:53726 10.0.0.3:5001 32 0x967c6d49 0x967bdcf1 27 25 104448 13
0.246819348 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.248892213 10.0.0.1:47070 10.0.0.3:5001 32 0x59632184 0x5962a514 28 25 118784 14
0.249232723 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.251344072 10.0.0.1:47070 10.0.0.3:5001 32 0x59634ec4 0x5962b064 28 25 118784 14
0.251709071 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.253847053 10.0.0.1:47070 10.0.0.3:5001 32 0x59635a14 0x5962bbb4 28 25 118784 14
0.254084394 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.256788241 10.0.0.1:47070 10.0.0.3:5001 32 0x59635fbc 0x5962c704 28 25 118784 14
0.257724444 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.258661694 10.0.0.1:47070 10.0.0.3:5001 32 0x59635fbc 0x5962d254 28 25 118784 14
